Size,RDD,TF,Epsilon,Exact,Approximation,Greedy,E_runtime,A_runtime,G_runtime,E_memory,A_memory,G_memory
85,0.4,0.2,10,3,3,3,245237094,287765694,9987418,41244,9449,36968
90,0.4,0.2,10,105,105,146,54297176,69492037,10481936,38354,3555,36969
95,0.4,0.2,10,23,23,23,13168353,28333392,7648383,37134,37145,36969
10,0.4,0.4,10,185,221,221,7505426,26960669,6304663,36968,36969,36963
100,0.4,0.4,10,10140,11202,18834,1245048719,1553716109,7925538,62048,62059,36970
15,0.4,0.4,10,476,575,629,7170556,21204372,6790499,36969,36971,36964
20,0.4,0.4,10,364,578,578,9672144,23091631,8912753,36995,36997,36965
25,0.4,0.4,10,1183,1254,1399,9387127,27819513,8466134,37112,37115,36965
30,0.4,0.4,10,754,931,1355,7399433,20494799,5960291,37083,37087,36966
35,0.4,0.4,10,1610,1774,2050,10383750,16163574,5635269,37282,37286,36966
40,0.4,0.4,10,2953,3364,4354,29432685,34182819,6785949,37896,37901,36966
45,0.4,0.4,10,3718,4338,6490,41130183,46830681,7983682,38756,38762,36967
5,0.4,0.4,10,66,66,66,9801948,22817231,6350714,36966,36966,36964
50,0.4,0.4,10,6546,6967,9483,116764643,97710823,6822488,41624,41630,36967
55,0.4,0.4,10,3588,3663,4380,20542019,30572178,6724147,37692,37698,36968
60,0.4,0.4,10,4053,4421,6632,143778717,125576507,7002740,41390,41397,36968
65,0.4,0.4,10,5096,5407,9780,171226520,120613717,7595179,42943,42951,36969
70,0.4,0.4,10,4707,5502,9175,245526383,210453130,7280656,45487,45495,36969
75,0.4,0.4,10,6066,6693,11158,94942890,78921726,8197556,40256,40264,36969
80,0.4,0.4,10,9267,9597,16032,372031516,327165446,5598222,49291,49300,36970
85,0.4,0.4,10,7504,7830,11477,264366120,306702669,6438849,45131,45140,36970
90,0.4,0.4,10,7529,8227,11684,2807997435,2342426925,6665688,124631,124641,36970
95,0.4,0.4,10,11123,12013,17610,799403472,423394434,7477611,54790,54801,36971
10,0.4,0.6,10,664,697,727,5929073,17808569,6302129,36968,36969,36965
100,0.4,0.6,10,40667,42527,73373,32933631104,15898039688,9756368,392743,393353,36971
15,0.4,0.6,10,1130,1411,1564,7028227,19877257,13944137,35199,35636,34883
20,0.4,0.6,10,2814,3014,4596,7107112,19704463,6266324,36275,37046,36148
25,0.4,0.6,10,3222,3899,5460,7124753,21665711,6059949,36986,36989,36917
30,0.4,0.6,10,2649,3331,4053,10512308,29286780,8876047,37199,37203,36917
35,0.4,0.6,10,4062,4970,8054,12951426,20287954,6826506,37281,37285,36918
40,0.4,0.6,10,9779,10654,14328,19458614,30095135,7518631,37752,37756,36918
45,0.4,0.6,10,9363,10744,15630,66939188,75022575,9943524,40127,40132,36918
5,0.4,0.6,10,329,405,405,5916252,15692672,6017560,36917,36918,36915
50,0.4,0.6,10,9196,9891,16499,50950595,55530793,5992536,39425,39430,36919
55,0.4,0.6,10,11988,12968,21083,226178520,189728256,7008994,44595,44601,36919
60,0.4,0.6,10,14027,15523,22923,260981506,152231217,7996362,45226,45273,36919
65,0.4,0.6,10,16298,17472,29295,282629080,154625705,5969646,47060,47067,36920
70,0.4,0.6,10,21087,22877,36780,962213638,585326205,6109510,62990,63170,36920
75,0.4,0.6,10,26005,27283,41325,1166658673,895722970,53241004,62653,62661,36921
80,0.4,0.6,10,22237,23351,39964,2356091236,1316695881,6333578,84767,85069,36921
85,0.4,0.6,10,28054,29925,49652,5800038872,3076630057,8624461,147218,146929,36921
90,0.4,0.6,10,30766,32282,53797,6060546884,3275666566,6911542,143930,144369,36512
95,0.4,0.6,10,32645,34502,59037,2718481318,1992242868,13391731,89941,89952,36367
10,0.4,0.8,10,1167,1400,1535,5026456,16762267,6161122,36364,36366,36361
100,0.4,0.8,10,97548,100441,158666,3707005514,1703048105,6972572,122987,122999,36367
15,0.4,0.8,10,1929,2693,3224,5887862,16420130,6695577,36434,36436,36413
20,0.4,0.8,10,3950,4791,6846,6463471,18065426,5655115,36457,36459,36413
25,0.4,0.8,10,5019,6081,9180,7704137,22025901,6171345,36537,36540,36413
30,0.4,0.8,10,8467,9095,13786,6590731,19540060,5873521,36487,36491,36414
35,0.4,0.8,10,15952,17056,22319,9561344,24110013,5947877,36658,36662,36414
40,0.4,0.8,10,17651,19134,26040,24854072,33422531,5841199,38077,38082,36414
45,0.4,0.8,10,18301,19277,32688,43588074,47521651,7044965,38528,38533,36415
5,0.4,0.8,10,267,296,296,5983529,17565521,6037928,36413,36414,36412
50,0.4,0.8,10,23569,24699,41011,65097510,69112870,7125438,39985,40011,36415
55,0.4,0.8,10,28936,30224,45640,57389403,59535192,5765108,39840,39846,36416
60,0.4,0.8,10,29230,31078,43893,55131900,78208699,5900887,39300,39317,36416
65,0.4,0.8,10,45484,46916,73141,157457989,113503321,6123404,43066,43073,36416
70,0.4,0.8,10,43927,46008,71324,1062457083,432688238,6024607,65431,65638,36417
75,0.4,0.8,10,55140,57234,88824,361667719,290452438,6372844,50365,50373,36417
80,0.4,0.8,10,53935,55772,89368,1077548661,771230768,6178100,67179,67378,36418
85,0.4,0.8,10,42421,44474,82999,7314028423,3721648608,6240395,175934,175869,36418
90,0.4,0.8,10,57539,60239,102035,1799389177,1402612559,7099148,84789,84719,39806
95,0.4,0.8,10,80826,82994,136344,1931274224,1021281393,6908825,91172,91343,39726
10,0.4,1,10,1992,2310,2789,5217835,16308808,5678640,39772,40194,39770
100,0.4,1,10,159354,160400,242336,12122241,21579267,6882544,40863,41045,40197
15,0.4,1,10,4269,4768,7060,5112916,16651441,5434989,40727,41000,40722
20,0.4,1,10,7376,7897,10916,5136336,24662973,5677610,41109,41112,40993
25,0.4,1,10,10888,11594,15127,5950871,17618588,6044848,41121,41124,41104
30,0.4,1,10,16232,16931,23186,6074644,18037275,6333363,41127,41130,41104
35,0.4,1,10,24061,24582,34402,7140548,19500279,5915536,41118,41122,41104
40,0.4,1,10,31630,32243,43938,6515665,22707678,6986452,41128,41132,41105
45,0.4,1,10,32751,33502,49887,6479973,19258606,5961770,41146,41151,41105
5,0.4,1,10,604,614,614,5870549,17099860,7060099,41104,41104,41102
50,0.4,1,10,38905,40226,57896,8338474,21220835,5983455,41253,41259,41106
55,0.4,1,10,59271,60449,87166,8741741,23069220,6231010,41323,41329,41106
60,0.4,1,10,73786,74633,105988,6523294,20743457,5903398,41158,41164,41106
65,0.4,1,10,74714,75975,112184,8957534,23976693,7510254,41293,41300,41107
70,0.4,1,10,91448,92562,126460,7354624,21764509,7065632,41213,41221,41107
75,0.4,1,10,85601,86346,129079,8176327,20497900,6409416,41219,41228,41107
80,0.4,1,10,131296,132607,175488,8384120,23015805,6152900,41290,41300,41108
85,0.4,1,10,123188,124599,187417,11859896,20190498,6107465,41531,41541,41108
90,0.4,1,10,131567,132672,203613,15162329,27238761,6586854,41706,41717,41109
95,0.4,1,10,150723,152074,217296,25712588,32270440,7359487,42184,42195,41109
10,0.6,0.2,10,3,3,3,5781230,16989928,6167239,41105,41106,41103
100,0.6,0.2,10,0,0,0,5667829,12655952,6468654,41136,41143,41109
15,0.6,0.2,10,0,0,0,5741590,11704851,5612544,41107,41108,41103
20,0.6,0.2,10,0,0,0,5908961,11217464,5630772,41108,41110,41103
25,0.6,0.2,10,0,0,0,5671591,11685949,5822557,41110,41112,41104
30,0.6,0.2,10,0,0,0,5808606,13131183,5690816,41112,41114,41104
35,0.6,0.2,10,0,0,0,6142777,13400197,7895383,41113,41116,41105
40,0.6,0.2,10,0,0,0,6538927,12678126,6012672,41115,41118,41105
45,0.6,0.2,10,0,0,0,6892093,12811691,5995537,41116,41120,41105
5,0.6,0.2,10,2,2,2,6405676,17085053,6829548,41104,41105,41102
50,0.6,0.2,10,0,0,0,6098625,11606171,5720021,41119,41123,41106
55,0.6,0.2,10,0,0,0,5718174,11921565,5945962,41121,41125,41106
60,0.6,0.2,10,0,0,0,6164081,12109412,5739840,41122,41127,41106
65,0.6,0.2,10,0,0,0,5868490,11963353,6058198,41124,41129,41107
70,0.6,0.2,10,0,0,0,7175450,14417478,7993019,41125,41131,41107
75,0.6,0.2,10,0,0,0,5885118,14136126,6135003,41128,41133,41107
80,0.6,0.2,10,0,0,0,7022096,12664039,7337645,41129,41135,41108
85,0.6,0.2,10,0,0,0,6230368,13371717,6276988,41132,41138,41108
90,0.6,0.2,10,0,0,0,5935427,12530368,6380691,41134,41140,41109
95,0.6,0.2,10,0,0,0,6116423,12581852,6569055,41135,41142,41109
10,0.6,0.4,10,126,128,201,5611840,17090936,5988011,41109,41110,41103
100,0.6,0.4,10,5216,5344,9068,18101290517,16895795174,6974308,247695,246247,41109
15,0.6,0.4,10,81,81,143,5664391,18463969,6683024,38443,39036,38435
